Company Name,CUI
CENTRUL MULTIMEDIA SARBO-ROMAN MEDIALINK,cui30748322.html
HUNYADI LASZLO ÎNTREPRINDERE INDIVIDUALĂ,https://hu.wikipedia.org/wiki/Hunyadi_L%C3%A1szl%C3%B3_(horv%C3%A1t_b%C3%A1n)
ADA SYSTEM TELECOM SRL,30273304/
ARNET TELECOM SRL,43442758/
BANAT NETWORK INTEGRATED COMMUNICATIONS SRL,39230536/
BROTHER SRL,23113181/
CABEL TV SISTEM SRL,13853255/
CLAR TELEVISION SRL,26389816/
CNETWORK FIBERZONE SRL,34005380/
COMARAD TELPREST SRL,41168754/
COMDASI TELECOM SRL,39441690/
COMETEINET TELECOM SRL,33643460/
CONS PROD 21 SRL,8480761/
CORE JOY COMMUNICATION SRL,47022650/
DANMARK COMPANY SRL,2068010/
DC FIBER HOME SRL,30747947/
DEYVID COM SRL,7541712/
DIGI COMMUNICATION SRL,9279031/
DYNAMIC DISTRIBUTION SRL,11296654/
ELCOMSERV SRL,1280456/
ELECTRO-SAT SRL,5147070/
EURONET SYSTEM SRL,39620334/
FIBERDATA ZYX SRL,33100901/
FIBERPLUS SRL,36432247/
FREESAT SRL,29845410/
GABMAR CABLE SRL,17666349
GLIGA COMIMPEX SRL,4526548/
GMB COMPUTERS SRL,1887661/
HD CAT SRL,24598786/
HINGSAT COMUNICATION SRL,28163822/
IMPULS CONSTRUCT SRL,23225983/
INES GROUP SRL,4021138/
INFO-JUNIOR SRL,3763937/
INTERLOGIC DESIGN SRL,20689539/
INTERNATIONAL OLISAT SRL,23801393/
INTERSAT SRL,4785178/
KODAN TV SRL,32287586/
KYSS CABLE SAT SRL,30766353/
MARCO BEN COMPANY SRL,16543119/
MAVLINK SRL,33572190/
MC SAT SRL,14055464/
MEDIA SAT SRL,9942028/
MEDIA SUD SRL,8983232/
MEDIA SYSTEM TELEVISION SRL,27137540/
MEDICOM STARNET SRL,40854460/
MEGA NET TELEKOM SRL,25901950/
MIRDARA SRL,9903126/
MONDO-BYTE SRL,16831189/
NASTY TELSAT SRL,34176088/
NETERGY TELECOM SRL,35301740/
NETFIL SRL,14467627/
NEXT LEVEL CONNECT SRL,33953780/
NEXT START SRL,27882048/
NEXTGEN COMMUNICATIONS SRL,24166583/
NICOLPET-TV SRL,14902526/
OMEGA NET SRL,17940370/
ORANGE ROMANIA COMMUNICATIONS SA,427320/
ORANGE ROMANIA SA,9010105/
OTI-MEX SRL,18363068/
OVIAND SAT SRL,10379816/
P.C. NET-C.A.T.V. SRL,13715325/
PHOENIX TELECOM &NETWORK SERVICES SRL,33175963/
POWER NET TELECOM SRL,26132498/
RANDOM TELECOM SRL,32845542/
RCS & RDS SA,5888716/
RETEAUA DE CABLU TV SRL,41511614/
ROUMANIAN ELECTRONIC SERVICE SRL,4614518/
SEBISAT-TV SRL,18553801/
SONISAT SRL,16930867/
SOUNDWAVE SRL,10775713/
SPEEDNET INTER SOLUTIONS SRL,30363270/
SPEEDNETWORK SRL,6042447/
SWEET TV GROUP RO SRL,47900270/
TCS MEDIA POWER NETWORK SRL,36779697/
TELECOM ARDEAL SRL,30318350/
TELEPLUS SRL,17301539/
TELEVIZIUNEA PUTNA SRL,17979451/
TRATEL COMUNICATII SRL,31109149/
TRATEL SERV SRL,38337764/
TV ALFA OMEGA 2005 SRL,17113179/
TV NET STAR 2018 SRL,40270542/
TV SAT 2002 SRL,14763924/
TV SAT PARTENER SRL,38254790/
TV SAT SRL,15903597/
VODAFONE ROMANIA SA,8971726/
TOTH PIROSKA INTREPRINDERE INDIVIDUALA,total_5301/Pagina/200
VAN GROUP S.R.O.,CUI not found
