Company Name	CUI	CAF_2022	PROFIT_NET_2022
ABC PLUS MEDIA SA	13988880	26745404	-3747581
ACCESIN COM SRL	17330143	24380	15114
ACUM TV SRL	36319389	271365	44657
AGRO TV NETWORK SRL	30926470	4706656	819746
ALEPH MEDIA SRL	36570266	5292441	-39172099
ALFA-OMEGA TV PRODUCTION SRL	5614540	649225	11038
ALPATVAR 2008 SRL	24288580	632291	41101
ALPHA MEDIA SRL	19235750	97011	-67943
ANGELUS WORKS SRL	44334908	19372	-1074
ANTENA 3 SA	15971591	82215018	2251828
ANTENA TV GROUP SA	1599030	595117255	137114567
ARDELEAN PRODUCTION MEDIA SRL	43884873	63100	2048
ARGE? TV MEDIA GROUP SRL	38885015	252030	65945
ARMEDIA GROUP SRL	24555785	686282	243115
ARTFEST CONSULTING SRL	42356667	0	-54678
"ASOCIA?IA ""INTERMEDIA ERDOVIDEK""	"	25482070	44046	-3058
ASOCIA?IA CENTRUL MEDIA ADVENTIST	29930109	3110000	3027290
ASOCIA?IA DE MUZIC? DIN REMETEA	14268683	35087	9625
ASOCIATIA RADIO MARIA ROMÂNIA	22107874	2079230	97263
ASTRA SMART MEDIA SRL	43112890	65551	22719
ATOMIC MEDIA ADVERTISING SRL	43216882	544582	-931867
AUTENTIC MEDIA TV SRL	34667190	119750	4035
AVE CONCRETE MEDIA SRL	28290826	273235	8828
B.G. MEDIA SRL	17018169	833287	171473
B1 TV CHANNEL SRL	27759259	17540865	-56798
BALADA STUDIO MUSIC SRL	39374523	261464	-3165
BALCAN MEDIA VISION SRL	41247300	237860	203498
BANAT MEDIA SRL	17107614	478340	373
BANAT TELECOM SATELIT SRL	5055643	2704899	53865
BEST MIXMEDIA SRL	38367919	358833	474096
BIFF EXPERT GROUP SRL	3272808	15206	-21241
BRIDGE MEDIA SOLUTIONS SRL	42663858	NA	NA
CAMPUS MEDIA TV SRL	24334385	101093626	19898983
CANAL 33 NETWORK SRL	32458023	1768874	174347
CANAL SUD MEDIA SRL	45162622	728520	112582
CANARIS SRL	3051742	122906	-14519
CARGO SPED SRL	14655159	68550	-57025
CAT MEDIA SRL	23647945	126549	4665
CBS IMPACT CONSULTANCY SRL	34278029	86912	51604
CEE BROADCASTING CO. SRL	36162640	953078	497617
CETATEA ALBA CAROLINA SRL	31842220	320251	144702
CINETHRONIX MEDIA SRL	43028692	169548	57407
CLAR TELEVISION SRL	26389816	3593886	-75825
CLAS MEDIA SRL	13781442	10463732	195336
CLEVER BUSINESS TRANSILVANIA SRL	18239966	43815663	2712765
CLEVER MEDIA NETWORK SRL	30863569	225803097	3637664
COLUMNA FILM STUDIO SRL	16610773	619071	152264
COMUNA TURIA			
CONFLUEN?E DORNENE MEDIA SRL	16015580	172144	-8318
COZA MEDIA SA	18293396	5356	-77983
CROMTEL MEDIA GROUP SRL	39213705	664359	20243
DATE ADVERTISING SRL	32033189	1695363	74931
DC FIBER HOME SRL	30747947	419006	5971
DESIGNERGY MEDIA SRL	39308848	0	-166405
DEYVID COM SRL	7541712	1467025	85392
DIGI COMMUNICATION SRL	9279031	3846605	314191
DIGITAL INFOCHANNEL SRL	26827401	15050	7008
DIPLOMATIC DIGITAL SRL	22836857	2932346	923444
DIPLOMATIC TVR PRES SRL	6487186	5500282	64225
DOBROGEA MEDIA SRL	29224960	3427658	189490
DOGAN MEDIA INTERNATIONAL SA	18684823	246471049	62090201
DORITHEA MEDIA SRL	33923495	296102	74261
ECO RINO SRL	16086327	1009554	5350
ELECTRO-SAT SRL	5147070	715846	62395
EMIEVENTS MUSIC SRL	33379955	906155	554115
ERA MEDIA ART SRL	39719568	0	-10902
ETNO FOLCLOR MEDIA SRL	14665390	5053225	-1746231
ETV CENTER SRL	16887660	821295	11050
EXCLUSIV ?TIRI MEDIA SRL	33912208	58000	-12489
EXPRES IMAGE SRL	14693918	67034	22129
EXROMGRUP SRL	38761920	20000	396
EXTOUR MEDIA SRL	31407668	NA	NA
FIBERPLUS SRL	36432247	329370	92745
FISHING & HUNTING TEMATIC SRL	32921259	6139202	650281
FOND MEDIA SRL	31183510	NA	NA
GALAXY SRL	1613968	282880	-113026
GEOPOL INTERNATIONAL SRL	29580380	25987	-278415
GLIGA COMIMPEX SRL	4526548	2409108	912856
GMB COMPUTERS SRL	1887661	18562311	1305147
GMG BUSINESS HOTELS SRL	33603172	100515	61690
GOSPOD?RIRE COMUNAL? LOCAL? R??INARI SRL	27804376	1220717	-248913
GREEN GOLD INTERNA?IONAL FM SRL	40226679	0	-1553
GREEN GOLD MEDIA TV SRL	40231128	0	-167
HD365 PRODUCTION SRL	31534912	295450	11576
HUNYADI LASZLO ÎNTREPRINDERE INDIVIDUAL?	27041916	NA	NA
I MEDIA PRODUCTION CO SRL	27534728	1069306	1039
I S G TV SRL	29384104	2367990	-274411
IKO POLAND SRL	16284723	5218079	1411307
IMPULS CONSTRUCT SRL	23225983	2300765	937706
INEDIT TV SRL	29718131	193496	6862
INFINIT TV SRL	36910767	8500	-18892
INTER-MEDIA SRL	6526153	523943	18566
INTERSAT SRL	4785178	7066682	804782
INTEX PRIM SRL	5898442	1148989	751594
JOB TV SRL	39858167	3613	-196199
KELET INFO SRL	11119229	150235	-25655
KISS TV MUSIC SRL	32595233	3492500	61512
LINKPRESSTV SRL	34338007	NA	NA
LOCAL MEDIA FACTORY SRL	33256812	207420	49221
M.G.R. ADVERTISING SRL	20892346	420545	38060
M&M CHANNEL SRL	31610009	0	-285681
MD-I MEDIA REGIONAL SRL	24447716	99096	-444831
MEDIA CENTER SRL	24400420	928030	326404
MEDIA EST VISION SRL	28507250	1055272	-127855
MEDIA GRUP MARKET ADV SRL	37314525	517056	52958
MEDIA GRUP PRODUCTION SRL	15032728	1212032	179243
MEDIA PRO COMUNICATION SRL	33229109	53300	-39392
MEDIA STIL SRL	15001160	21294	-430417
MEDIA TEN PRODUCTIONS SRL	18526920	361910	-110594
MEDIA VIDEO CENTER SRL	23226075	112825	20251
MEDIA VIDEO PRODUCTION ONE SRL	16583970	0	-8117
MEDIA ZONE UNU HD SRL	26627535	273430	597
MEDIADIFF PRODUCT SRL	30455373	1073685	-132750
MEDIKA BROADCAST CHANNEL SRL	32951381	364983	60152
MOOZ TV SRL	27653281	1347213	-181861
NA TRANSILVANIA TRADING SRL	38491088	260871	39871
NEW IMAGE SRL	15605728	22605	-18307
NEXT START SRL	27882048	3970340	995645
NORD CARPAT MEDIA SRL	28965311	195245	52415
NORD EST NEWS SRL	40768327	526362	1140
NORD VEST TV ADVERTISING SRL	26330738	1915482	135351
NOVA FORCE TECHNIC SRL	17208678	230264	22806
NOVA MEDIA SRL	16700035	754548	-124508
NOVA PRESS SRL	13880136	469721	49633
NOVANEWS MEDIA? SRL	44494119	233307	193339
ORANGE ROMANIA COMMUNICATIONS SA	427320	2436927140	-187195973
ORANGE ROMANIA SA	9010105	6057403632	602330569
P.C. NET-C.A.T.V. SRL	13715325	2525142	692314
PAF MEDIA SRL	24885422	692223	237310
